#{"t_start": 1764257714.3149107, "env_id": "None"}
r,l,t
-20.641904,70,0.085889
-22.285235,100,0.15228
-10.807143,63,0.179565
-38.797855,99,0.235618
-25.597357,59,0.288141
-31.869866,44,0.312989
-8.785145,41,0.336073
-23.495122,100,0.797871
-9.299148,100,1.135259
-23.291941,100,1.443899
-33.127852,53,1.627795
-27.895956,100,1.946369
-10.503629,100,2.266479
1.587776,33,2.398787
31.837015,100,2.785741
32.910568,69,3.050441
18.773741,54,3.251629
-45.333891,100,3.545997
32.367539,100,3.849435
101.849852,100,4.167101
99.618153,100,4.468606
23.05489,100,4.784884
-16.478032,100,5.107827
56.228759,87,5.417866
36.257109,95,5.735109
109.28979,100,6.031357
103.699016,100,6.350123
82.600806,87,6.668461
77.05515,100,7.033357
75.644542,100,7.36349
111.439846,100,7.717428
87.189739,100,8.034392
70.367855,100,8.367634
73.498555,100,8.683587
102.436604,100,8.959899
84.165327,100,9.267391
85.390628,99,9.610926
54.411873,75,9.876269
104.017663,100,10.194354
99.442639,100,10.559772
105.066894,100,10.977433
84.329124,100,11.32595
106.241922,100,11.644093
109.152831,100,12.010503
71.48671,59,12.210618
77.130101,100,12.508942
116.070019,100,12.825104
109.48957,100,13.134535
118.955415,100,13.466661
94.801306,83,13.733308
111.552412,100,14.060428
110.144524,100,14.450165
109.350082,100,14.87708
90.597206,81,15.159008
89.648754,88,15.443286
