#{"t_start": 1764257602.6741858, "env_id": "None"}
r,l,t
-57.014804,100,0.106663
-17.800866,36,0.211921
1.017703,48,0.274558
-5.13943,33,0.306425
14.997627,41,0.347927
0.113572,70,0.397857
-33.018859,69,0.448089
-63.59313,100,0.507938
-11.72509,56,0.541538
-46.924853,100,0.624518
-43.822626,75,0.664713
-25.850347,73,0.697519
-14.064007,30,0.726351
-35.001882,70,0.773211
-6.331005,42,0.790069
-23.367856,47,0.806075
-84.388669,38,0.922543
-96.584043,48,1.10728
-9.024851,100,1.447539
10.445267,100,1.77303
-22.025054,100,2.107901
-28.329843,100,2.473906
-54.905656,100,2.846995
-54.757189,100,3.188866
-48.783499,97,3.546902
-25.231225,100,3.941052
-24.543456,100,4.330678
-9.358398,84,4.595641
15.346114,75,4.899835
8.727673,36,5.03051
3.380337,23,5.113747
28.445975,37,5.23034
-4.036857,99,5.588084
-5.668596,90,5.978616
-3.362314,66,6.256018
18.038941,100,6.673858
18.752415,47,6.888775
24.902608,100,7.356969
21.521321,83,7.662704
62.486016,100,8.454471
14.165138,100,8.9448
56.26018,100,9.355625
27.482679,78,9.627237
34.825234,92,10.173671
12.209821,100,10.64346
37.054632,99,11.124866
62.085614,94,11.522878
36.810994,100,12.076456
38.620941,100,12.459817
77.882881,100,12.89512
-16.698715,100,13.526157
80.332118,87,13.891783
72.954479,100,14.495326
88.22987,100,14.878071
38.127881,100,15.261312
11.429834,100,15.60509
18.693284,100,16.332417
-2.111068,100,16.70887
44.087584,100,17.088257
45.018374,100,17.453416
46.418261,100,17.820058
