#{"t_start": 1764257655.9586968, "env_id": "None"}
r,l,t
-20.984395,37,0.056211
-8.643272,59,0.095362
-17.947715,54,0.295097
-1.117929,27,0.341964
-38.243992,100,0.580251
-36.056288,100,0.753238
-58.054366,100,0.841845
-73.263409,51,0.994107
-128.786024,100,1.28498
14.618942,100,1.544966
-34.981701,100,1.820512
-31.146521,100,2.061729
-11.680868,87,2.363273
-23.91122,100,2.768963
-32.224012,67,2.978223
-28.237094,100,3.251167
3.718009,74,3.654326
-28.511454,100,3.994693
-28.377402,100,4.269814
18.841118,62,4.45197
33.392071,100,4.71659
27.601312,25,4.81761
24.959526,47,5.019121
23.817698,83,5.244438
-47.707516,80,5.485739
-72.622709,100,5.779352
29.996226,100,6.07691
10.538037,86,6.285549
59.485232,100,6.561973
35.208798,83,6.780649
50.980341,100,7.035372
-39.748418,100,7.285363
23.513412,100,7.518098
16.966527,86,7.719462
56.677734,89,7.883724
46.827585,72,8.136467
61.390596,100,8.402579
41.560773,100,8.651241
49.00117,100,8.868361
31.37785,78,9.045191
58.017242,100,9.317864
66.11129,100,9.582348
26.578418,84,9.784349
13.819957,63,9.918058
52.553402,99,10.14992
20.024298,100,10.452407
41.743536,100,10.700901
56.827976,100,10.949775
38.540502,100,11.334143
61.395062,100,11.759816
58.841953,100,12.143255
14.076501,83,12.35903
-7.057535,80,12.624694
74.53479,100,12.894066
97.138866,100,13.144383
24.270363,100,13.400257
40.993946,95,13.642662
