#{"t_start": 1764257586.6988683, "env_id": "None"}
r,l,t
6.85495,40,0.056537
-76.91693,100,0.12623
-15.604298,29,0.150375
-13.61592,28,0.17027
-26.20729,68,0.21827
-21.002327,33,0.226287
-32.196732,85,0.298197
-24.929103,66,0.341717
-3.556164,61,0.429735
22.799491,67,0.619656
7.18443,100,0.87821
10.569494,100,1.135613
-19.063423,100,1.402103
-38.984294,100,1.726022
-17.460909,100,2.107673
33.049386,73,2.308714
46.261639,100,2.808571
-27.918335,61,2.99246
-29.433067,48,3.117912
-7.461759,100,3.391921
27.655152,69,3.607373
27.292385,100,3.86851
44.683982,75,4.041749
68.239145,100,4.306275
38.181277,73,4.508363
50.566334,96,4.740547
96.161502,100,5.071812
101.812026,100,5.339396
28.672654,100,5.641407
45.326989,100,5.890383
70.19382,100,6.139386
9.333866,100,6.417926
55.573238,57,6.583209
27.337011,84,6.807963
43.737184,100,7.072437
79.270281,100,7.441846
77.550269,100,7.732961
89.574395,100,7.974357
108.105846,100,8.199663
67.511704,100,8.424447
110.346908,100,8.688773
65.038207,100,8.951365
101.037426,100,9.207983
75.264088,100,9.496754
115.685403,100,9.790625
62.447855,100,10.039585
44.775978,100,10.307247
113.864288,100,10.574154
91.000775,100,10.841026
66.82326,100,11.123319
100.77525,100,11.423637
72.495046,100,11.725921
73.824551,68,11.949511
50.165757,97,12.207009
98.905602,100,12.484313
99.196294,100,12.71747
97.014222,100,12.998636
