#{"t_start": 1764257625.0494435, "env_id": "None"}
r,l,t
9.623972,35,0.060026
-12.207503,58,0.100027
-9.359991,44,0.124028
-62.769058,70,0.179545
-16.279985,70,0.260218
-49.634426,63,0.302514
-50.178714,96,0.346864
-22.038605,78,0.401197
-5.433432,41,0.44001
-46.995072,76,0.481229
-12.306437,40,0.497073
-33.387552,53,0.529077
11.452016,38,0.56429
-20.50174,89,0.60324
-37.998337,72,0.641252
-26.150935,39,0.665254
-57.221083,100,0.730089
-3.627897,46,0.746091
-7.654971,37,0.778093
-0.061578,62,0.797405
-39.190289,91,0.869164
-6.273977,64,0.939239
-4.233429,47,0.97761
-46.409703,100,1.059891
4.402031,72,1.152689
1.144204,65,1.192894
-73.537499,100,1.276736
-12.097141,61,1.312469
2.987216,38,1.343227
-28.643358,74,1.391228
-13.675811,39,1.412016
20.852426,47,1.452022
-76.924936,43,1.583432
-34.622632,26,1.659453
-62.531677,36,1.771567
-12.793769,100,2.079185
-65.321388,100,2.367647
-54.953744,100,2.659125
-3.832829,74,3.066441
-55.461814,100,3.593266
-24.354262,59,3.794404
-46.282179,100,4.109597
-50.219602,100,4.381404
-60.419029,87,4.827672
-41.812911,100,5.147198
-40.71105,100,5.640191
38.216435,100,6.017463
28.172338,55,6.226389
25.771145,78,6.500178
13.134875,41,6.626617
8.9424,35,6.743065
12.078822,37,6.91062
5.409066,50,7.118957
18.15541,49,7.482249
29.734369,45,7.601759
18.099812,58,7.768562
28.920277,47,7.996958
28.417499,79,8.242465
7.252834,65,8.444535
33.658174,61,8.600304
18.152229,73,8.949712
6.769129,68,9.150196
0.70733,100,9.41534
25.80282,100,9.746103
44.87409,100,10.267808
54.918469,100,10.692276
4.088362,64,11.266166
48.653868,100,11.676752
42.142101,100,12.041756
28.344213,100,12.314644
34.402662,85,12.583035
