#{"t_start": 1764257701.0036576, "env_id": "None"}
r,l,t
-34.083768,48,0.182726
12.361135,41,0.21022
-18.086944,42,0.233841
-19.542353,30,0.242005
9.414224,52,0.293142
-20.731295,57,0.319765
11.867003,58,0.349866
-9.960832,55,0.375554
-3.622303,52,0.427469
-45.53556,100,0.49174
-5.678922,45,0.509311
4.40499,59,0.549856
-20.72782,82,0.608477
-5.956595,53,0.633245
-62.953566,65,0.675164
-9.155946,55,0.707879
-2.781119,31,0.734712
-41.820077,60,0.776761
-15.139936,83,0.940451
-6.140691,94,1.164714
17.123108,100,1.399107
12.152386,100,1.597993
-7.382703,100,1.807656
18.366404,77,1.947985
2.594634,83,2.209562
-17.854928,100,2.397926
0.966207,59,2.544152
5.271386,100,2.776085
-27.191049,100,3.041739
-27.310192,68,3.241379
-4.104824,100,3.490637
-41.841931,100,3.747633
-4.150828,68,3.93327
-22.254796,100,4.142777
-53.619908,100,4.445832
-3.981198,100,4.681992
-24.133354,100,4.924299
-23.520326,100,5.190399
-14.678421,100,5.480532
-22.36125,87,5.665915
-48.137031,100,5.913903
-21.541564,100,6.147145
-49.774542,100,6.379449
-15.484072,100,6.680913
-43.612137,100,6.948073
48.962053,100,7.197051
42.339544,100,7.481612
23.103648,100,7.723863
54.788244,100,7.965134
51.912979,100,8.1904
-26.317575,54,8.324076
46.233456,100,8.547695
18.185984,100,8.827441
60.990019,100,9.09822
37.58343,81,9.290833
-15.252496,100,9.50854
4.043592,67,9.689421
22.915711,100,9.913957
-4.69133,98,10.129698
25.229479,100,10.347413
