#{"t_start": 1764257672.4250517, "env_id": "None"}
r,l,t
5.979144,50,0.061263
-17.431164,100,0.16853
-7.272894,44,0.200563
-9.421737,34,0.233308
-23.921941,52,0.309195
-62.681645,90,0.375733
-17.367034,74,0.425813
-33.290229,100,0.46672
15.551352,32,0.495293
-36.269172,100,0.560547
-26.632142,100,0.600492
-21.346051,66,0.643859
-50.275749,100,0.710802
-52.367243,75,0.800501
61.803935,100,1.149772
-23.976333,100,1.46696
-4.730187,100,1.792302
-6.687421,100,2.110692
1.632804,100,2.45862
-48.332004,100,2.724958
-19.564556,100,3.035528
-59.673913,94,3.33919
-50.136838,100,3.6333
-42.361609,63,3.816454
-5.167514,100,4.115893
18.589642,47,4.231576
35.886759,56,4.408213
31.815063,58,4.56587
19.03042,44,4.691102
10.977724,56,4.84314
23.121925,60,5.015808
28.064767,66,5.208336
-15.465925,78,5.457909
11.674274,66,5.659663
34.966597,56,5.814569
23.333126,64,6.024157
18.478511,100,6.381213
0.256877,100,6.675429
-5.743033,45,6.80796
43.708593,100,7.079961
22.196153,75,7.31757
39.170974,100,7.582486
71.519224,100,7.92422
46.87905,100,8.182395
19.717398,52,8.331801
51.462079,44,8.447406
55.626929,100,8.748932
63.532033,100,9.014977
77.441138,100,9.308926
74.804017,100,9.590158
66.80105,50,9.714895
20.709039,100,10.086695
69.93208,100,10.575391
100.173632,100,10.856686
5.162684,100,11.129197
-11.323395,100,11.407072
21.018363,100,11.712526
35.451639,100,12.015372
13.065387,100,12.308978
53.823036,100,12.628984
92.805206,100,12.931504
